Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.7,-131.5,0.0,bottom
C2,1µF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,208.7,-129.5,0.0,bottom
C3,470µF 50V,CP_Elec_16x17.5,181.0,-121.5,-90.0,top
C4,1µF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,217.3,-131.5,180.0,bottom
C5,1µF 50V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,217.3,-129.5,180.0,bottom
C6,470µF 50V,CP_Elec_16x17.5,245.0,-121.5,-90.0,top
C7,1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,210.0,-139.0,0.0,bottom
C8,1µF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,215.5,-139.0,180.0,bottom
C9,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,215.5,-137.0,180.0,bottom
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,220.0,-138.0,180.0,bottom
C11,470µF 16V,CP_Elec_10x10.5,242.0,-145.5,-90.0,top
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,204.0,-131.0,90.0,bottom
C13,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,222.0,-131.0,90.0,bottom
C14,100nF 16V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,202.5,-139.0,180.0,bottom
C15,33nF,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,176.5,-101.5,-90.0,top
C16,33nF,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,179.5,-101.5,-90.0,top
C17,1µ,C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4,188.255,-88.0,180.0,top
C18,1µ,C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4,203.255,-88.0,180.0,top
